Captain's name,Crew deaths during voyage,Crew at first landing of captives,Crew at voyage outset,Date vessel departed with captives,Date vessel departed for homeport,Display in compact mode,Date vessel arrived with captives,First place where captives were landed,First place where captives were purchased,Guns mounted,Cargo,Year of arrival at port of disembarkation,"Voyage duration, homeport to disembarkation (in days)",Place where vessel's voyage began,Principal place where captives were purchased,Principal place where captives were landed,Total embarked,Total disembarked,Captive deaths during crossing,Percentage of captives who died during crossing,Captive Background,Flag of vessel,Percent boys,Percent children,Percent girls,Percent males,Percent men,Percent women,Sterling cash price in Jamaica,Duration of captives' crossing (in days),Flag of vessel.1,Captives carried from 1st port,Captives carried from 2nd port,Captives carried from 3rd port,Captives landed at 1st port,Captives landed at 2nd port,Captives landed at 3rd port,Captives intended to be purchased at 1st place,Outcome of voyage for owner,Outcome of voyage if ship captured,Outcome of voyage for captives,Particular outcome of voyage,Vessel owner,Place where vessel's voyage ended,Places of call before Atlantic crossing,Place registered,Year registered,Resistance,Rig or type of vessel,Show advanced variables in search filters,Second place where captives were landed,Second place where captives were purchased,Vessel name,Date captive embarkation began,Source of data,Third place where captives were landed,Third place where captives were purchased,Tonnage,Standardized tonnage,Captives arrived at 1st port,Total embarked.1,Place constructed,Date vessel's voyage began,Date vessel arrived at homeport,Voyage ID,Year constructed,VOYAGEID2
"Morisse, Samuel",27.0,,167.0,1711-05-11T00:00:00Z,1711-12-23T00:00:00Z,,1711-07-17T00:00:00Z,,,,,1711.0,252.0,,,,316.0,241.0,,,,France,,,,,,,,67.0,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Bossinet, Jullien",,,,,,,,,,Duc de Bretagne,1711-02-03T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., Hallier, 34<><p>Hallier, Val&eacute;rie, Le lancement de la traite n&eacute;gri&egrave;re &agrave; Nantes de 1688 &agrave; 1713 (M&eacute;moire de ma&icirc;trise, Universit&eacute; de Nantes, 1996)</p>, ADLA B4575<><p><em>Archives D&eacute;partmentales Loire-Atlantique</em> (Nantes)</p>, ADLA B4704 passports<><p><em>Archives D&eacute;partmentales Loire-Atlantique</em> (Nantes)</p>",,,300.0,343.1,,,,1710-11-07T00:00:00Z,1712-04-12T00:00:00Z,30015,,
"Dansaint, Jean",21.0,,85.0,,1715-03-24T00:00:00Z,,1714-11-15T00:00:00Z,,,,,1714.0,334.0,,,,450.0,376.0,270.0,0.6,,France,,,,,,,,105.0,France,,,,,,,,Original goal thwarted (human agency),Portuguese,Slaves disembarked in Americas,Captured by Portuguese - Americas after disembarkation,Danssainct,,,,,,,,,,Reine de Nantes,,"Pijning, 321-66<><p>Pijning, Ernst, ""Regulating Illegal Trade: Foreign Vessels in Brazilian Harbours,"" <em>Portuguese Studies Review</em>, 15 (2007): 321-366</p>, mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., DocHist,70:208<>Biblioteca Nacional do Rio de Janeiro, <i>Documentos Históricos da Biblioteca Nacional do Rio de Janeiro</i>, 110 vols. (Rio de Janeiro, 1929-55).     ",,,350.0,398.1,,450.0,,1713-12-16T00:00:00Z,1715-09-17T00:00:00Z,30038,,
Joubert Desmarais,35.0,,66.0,1714-06-25T00:00:00Z,,,1714-09-16T00:00:00Z,,,,,1714.0,237.0,,,,505.0,331.0,174.0,0.34,,France,,,,,,,,83.0,France,505.0,0.0,0.0,215.0,0.0,0.0,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Schiell, Luc",,,,,,,,,,Sainte Agnès,1714-03-27T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,250.0,365.3,,505.0,,1714-01-22T00:00:00Z,1715-06-24T00:00:00Z,30041,,
"Lavigne, Achille",23.0,,76.0,1714-11-18T00:00:00Z,,,1714-12-31T00:00:00Z,,,,,1714.0,340.0,,,,375.0,350.0,,,,France,0.18182,0.19773,0.01591,0.84318,0.66136,0.14091,,43.0,France,375.0,0.0,0.0,350.0,0.0,0.0,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Bertrand,,,,,,,,,,Grand Duc de Bretagne,1714-05-31T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,300.0,343.1,,375.0,,1714-01-25T00:00:00Z,1715-08-27T00:00:00Z,30042,,
"Blanc, Gaspard le<br/> Dalmas, Jacques",24.0,,59.0,1714-09-22T00:00:00Z,,,1715-01-26T00:00:00Z,,,,,1715.0,315.0,,,,386.0,272.0,114.0,0.3,,France,,,,,,,,126.0,France,386.0,0.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Simon, Jean",,,,,,,,,,Blason,,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,200.0,305.3,241.0,386.0,,1714-03-17T00:00:00Z,1715-09-05T00:00:00Z,30044,,
"Prado, Jacques",23.0,,,1715-02-16T00:00:00Z,,,1715-05-02T00:00:00Z,,,,,1715.0,240.0,,,,470.0,398.0,72.0,0.15,,France,0.21827,0.35025,0.13198,0.63452,0.41624,0.2335,,75.0,France,470.0,0.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Dumotay Bossinot,,,,,,,,,,Duc de Bretagne,1714-11-19T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,330.0,376.1,394.0,470.0,,1714-09-04T00:00:00Z,1715-10-06T00:00:00Z,30049,,
"Grazeiller, Jean",24.0,,62.0,1715-06-25T00:00:00Z,,,1715-08-28T00:00:00Z,,,,,1715.0,227.0,,,,430.0,302.0,,,,France,,,,,,,,64.0,France,430.0,0.0,0.0,302.0,0.0,0.0,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Sarrebourse de Hauteville,,,,,,,,,,Sérieux,1715-03-07T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,500.0,563.1,,430.0,,1715-01-13T00:00:00Z,1716-08-22T00:00:00Z,30058,,
"Gamot, Alexis",28.0,,64.0,1715-08-14T00:00:00Z,,,1715-12-23T00:00:00Z,,,,,1715.0,271.0,,,,507.0,356.0,151.0,0.3,,France,,,,,,,,131.0,France,507.0,0.0,0.0,309.0,0.0,0.0,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,La Brouillière*,,,,,Slave insurrection,,,,,Prudent,1715-06-15T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,250.0,365.3,356.0,507.0,,1715-03-27T00:00:00Z,1716-09-27T00:00:00Z,30062,,
"Lincol, P<br/> Terrien, G",37.0,,,1715-08-14T00:00:00Z,,,1715-11-14T00:00:00Z,,,,,1715.0,232.0,,,,504.0,437.0,67.0,0.13,,France,0.15789,0.2151,0.05721,0.79405,0.63616,0.14874,,92.0,France,504.0,0.0,0.0,406.0,0.0,0.0,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Bernier, Louis*",,,,,,,,,,Saint Fleurant,1715-06-14T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,300.0,343.1,437.0,504.0,,1715-03-27T00:00:00Z,1716-11-01T00:00:00Z,30067,,
"Broban, Noël",32.0,,,1715-12-18T00:00:00Z,,,,,,,,1715.0,,,,,164.0,100.0,64.0,0.39,,France,0.36667,0.4,0.03333,0.73333,0.36667,0.23333,,,France,23.0,20.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Joubert, Mathurin",,,,,,,,,,Eclair,1715-09-09T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,300.0,343.1,100.0,164.0,,1715-06-26T00:00:00Z,1717-09-08T00:00:00Z,30068,,
"Hennchement, Denis",30.0,,63.0,1716-05-05T00:00:00Z,,,1716-07-07T00:00:00Z,,,,,1716.0,251.0,,,,370.0,162.0,208.0,0.56,,France,0.22727,0.27273,0.04545,0.66667,0.43939,0.28788,,63.0,France,370.0,0.0,0.0,107.0,30.0,0.0,,Original goal thwarted (human agency),Captor unspecified,Slaves disembarked in Americas,Destroyed - unspecified,Montaudoin,,,,,,,,,,Léopard,1716-01-18T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,200.0,305.3,162.0,370.0,,1715-10-30T00:00:00Z,,30070,,
"Hays, Guillaume",57.0,,,1719-09-05T00:00:00Z,,,1720-03-12T00:00:00Z,,,,,1720.0,437.0,,,,150.0,106.0,44.0,0.29,,France,0.17308,0.28846,0.11538,0.76923,0.59615,0.11538,,189.0,France,150.0,0.0,0.0,,,,,Original goal thwarted (human agency),pirate/privateer action,Slaves disembarked in Americas,Captured by pirates - slaves sold in Americas from another ship,Schiell,,,,,,,,,,Victorieux,1719-03-22T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., T70/7,3<><p><em>British National Archives</em> (Kew)</p>, T70/885,f.63v<><p><em>British National Archives</em> (Kew)</p>",,,250.0,365.3,106.0,150.0,,1718-12-31T00:00:00Z,,30115,,
"Dosset, Pierre<br/> Joulin<br/> Vince, Jean",66.0,,95.0,1720-05-27T00:00:00Z,,,1720-08-27T00:00:00Z,,,,,1720.0,524.0,,,,126.0,37.0,89.0,0.71,,France,0.14286,0.2,0.05714,0.65714,0.51429,0.28571,,92.0,France,126.0,0.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Montaudoin, René",,,,,,,,,,Affriquain,1720-02-01T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,250.0,365.3,37.0,126.0,,1719-03-22T00:00:00Z,1721-09-03T00:00:00Z,30116,,
"Bouët, Henri",29.0,,75.0,1720-04-02T00:00:00Z,,,1720-07-03T00:00:00Z,,,,,1720.0,240.0,,,,418.0,313.0,105.0,0.25,,France,0.0607,0.22364,0.16294,0.58147,0.52077,0.25559,,92.0,France,418.0,0.0,0.0,313.0,0.0,0.0,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Montaudoin, René",,,,,,,,,,Fidélité,,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,200.0,305.3,,418.0,,1719-11-06T00:00:00Z,1721-03-26T00:00:00Z,30124,,
"Baullon, Julien",35.0,,75.0,1721-02-09T00:00:00Z,,,1721-04-18T00:00:00Z,,,,,1721.0,331.0,,,,439.0,396.0,43.0,0.1,,France,0.24495,0.34848,0.10354,0.69697,0.45202,0.19949,,68.0,France,439.0,0.0,0.0,373.0,0.0,0.0,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Drouin, François",,,,,,,,,,Saint Pierre,1720-10-03T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,120.0,218.3,396.0,439.0,,1720-05-22T00:00:00Z,1721-08-22T00:00:00Z,30135,,
"Terrien, Grégoire",23.0,,70.0,1720-12-20T00:00:00Z,,,1721-02-11T00:00:00Z,,,,,1721.0,221.0,,,,250.0,229.0,21.0,0.08,,France,0.17467,0.27074,0.09607,0.64192,0.46725,0.26201,,53.0,France,250.0,0.0,0.0,69.0,44.0,0.0,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Sarrebourse de Hauteville,,,,,,,,,,Marie Magdelaine,1720-10-28T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,150.0,272.3,229.0,250.0,,1720-07-05T00:00:00Z,1721-12-29T00:00:00Z,30138,,
"Rhuais, René de",35.0,,70.0,1722-03-22T00:00:00Z,1722-09-22T00:00:00Z,,1722-05-03T00:00:00Z,,,,,1722.0,237.0,,,,394.0,353.0,41.0,0.1,,France,,,,,,,,42.0,France,394.0,0.0,0.0,353.0,0.0,0.0,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Trochon, Charles",,,,,,,,,,Intrépide,1722-02-12T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,120.0,218.3,353.0,394.0,,1721-09-08T00:00:00Z,1723-07-27T00:00:00Z,30155,,
"Lancelot, Jean",20.0,,40.0,1722-07-19T00:00:00Z,1723-06-02T00:00:00Z,,1722-09-26T00:00:00Z,,,,,1722.0,286.0,,,,280.0,248.0,32.0,0.11,,France,,,,,,,,69.0,France,280.0,0.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Montaudoin Delaunay,,,,,,,,,,Paix,1722-05-21T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,120.0,218.3,248.0,280.0,,1721-12-14T00:00:00Z,1723-08-05T00:00:00Z,30164,,
"Denier, Jean<br/> Dosset, Fr",24.0,,35.0,1722-04-30T00:00:00Z,1723-01-21T00:00:00Z,,1722-09-01T00:00:00Z,,,,,1722.0,,,,,205.0,84.0,121.0,0.59,,France,0.13095,0.28571,0.15476,0.60714,0.47619,0.2381,,,France,205.0,0.0,0.0,,,,,Original goal thwarted (natural hazard),Natural hazard,Slaves disembarked in Americas,"Shipwrecked or destroyed, after disembarkation","Montaudoin, René",,,,,Slave insurrection,,,,,Excellent,1722-03-01T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,100.0,182.3,84.0,205.0,,1721-12-15T00:00:00Z,,30165,,
"Dumoulin, Julien",25.0,,78.0,1722-07-20T00:00:00Z,1723-08-03T00:00:00Z,,1722-11-24T00:00:00Z,,,,,1722.0,259.0,,,,525.0,323.0,202.0,0.38,,France,,,,,,,,127.0,France,525.0,0.0,0.0,323.0,0.0,0.0,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Montaudoin, René",,,,,,,,,,Maréchal d'Estrées,1722-05-19T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,300.0,343.1,,525.0,,1722-03-10T00:00:00Z,1723-10-20T00:00:00Z,30173,,
"Bellinger, François",22.0,,49.0,1727-07-08T00:00:00Z,1728-07-04T00:00:00Z,,1727-09-25T00:00:00Z,,,,,1727.0,237.0,,,,394.0,340.0,54.0,0.14,,France,,,,,,,,79.0,France,394.0,0.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Montaudoin Delaunay,,,,,,,,,,Paix,1727-05-04T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,140.0,254.3,340.0,394.0,,1727-01-31T00:00:00Z,1728-08-22T00:00:00Z,30200,,
"Saulnier, Jean",29.0,,72.0,1727-12-27T00:00:00Z,1728-11-30T00:00:00Z,,1728-04-18T00:00:00Z,,,,,1728.0,301.0,,,,541.0,461.0,,,,France,,,,,,,,113.0,France,541.0,0.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Montaudoin, René",,,,,,,,,,Fidélité,1727-10-04T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LEP,29.02.22.-25.<><p><em>London Evening Post</em>, (London, England)</p>",,,300.0,343.1,,541.0,,1727-06-22T00:00:00Z,1729-02-22T00:00:00Z,30203,,
"Baugin, Pierre",22.0,,55.0,1731-06-09T00:00:00Z,1731-11-20T00:00:00Z,,1731-09-11T00:00:00Z,,,,,1731.0,257.0,,,,400.0,157.0,243.0,0.61,,France,,,,,,,,94.0,France,400.0,0.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Leray de La Clartais,,,,,,,,,,Mercure,1731-03-02T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,150.0,272.3,159.0,400.0,,1730-12-28T00:00:00Z,1732-02-04T00:00:00Z,30251,,
"Nègre, Joseph",26.0,,54.0,1732-01-27T00:00:00Z,1732-12-26T00:00:00Z,,1732-05-14T00:00:00Z,,,,,1732.0,343.0,,,,426.0,392.0,34.0,0.08,,France,,,,,,,,108.0,France,1.0,0.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"La Brouillière, Marc",,,,,,,,,,Nestor,1731-07-28T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., Harms,234<>Harms, Robert, <i>The Diligent: A Voyage Through the Worlds of the Slave Trade</i> (New York, 2002).",,,150.0,272.3,392.0,426.0,,1731-06-06T00:00:00Z,1733-03-25T00:00:00Z,30255,,
"Lincoll, Pierre",22.0,,65.0,1732-10-03T00:00:00Z,1733-10-19T00:00:00Z,,1733-01-31T00:00:00Z,,,,,1733.0,393.0,,,,576.0,491.0,,,,France,,,,,,,,120.0,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Rivière, Jean",,,,,,,,,,Achille,1732-03-13T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,250.0,365.3,,576.0,,1732-01-04T00:00:00Z,1733-12-17T00:00:00Z,30265,,
Desprées Lefebvre,24.0,,58.0,1735-07-29T00:00:00Z,1736-02-27T00:00:00Z,,1735-09-16T00:00:00Z,,,,,1735.0,322.0,,,,304.0,248.0,56.0,0.18,,France,0.14516,0.37903,0.23387,0.41532,0.27016,0.35081,,49.0,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Brouet, Jacques",,,,,,,,,,Phénix,,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,150.0,272.3,248.0,304.0,,1734-10-29T00:00:00Z,1736-04-25T00:00:00Z,30284,,
"Burgevin, Pierre",24.0,,52.0,1739-09-09T00:00:00Z,,,1740-01-29T00:00:00Z,,,,,1740.0,329.0,,,,399.0,311.0,,,,France,,,,,,,,142.0,France,,,,311.0,0.0,0.0,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Montaudoin (Vve)<br/> Montaudoin (Fils)*,,,,,,,,,,Deux Renés,1739-04-10T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,200.0,305.3,,399.0,,1739-03-06T00:00:00Z,1740-12-27T00:00:00Z,30358,,
"Thomas, Pierre",29.0,,45.0,1740-02-19T00:00:00Z,,,1740-06-14T00:00:00Z,,,,,1740.0,466.0,,,,563.0,345.0,,,,France,,,,,,,,116.0,France,563.0,0.0,0.0,345.0,0.0,0.0,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Montaudoin Delaunay, Thomas",,,,,,,,,,Nymphe,1739-08-14T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,250.0,365.3,,563.0,,1739-03-06T00:00:00Z,1741-04-25T00:00:00Z,30359,,
"La Coste, Aimé-Fr<br/> Marchais, Jean",27.0,,40.0,1750-05-10T00:00:00Z,,,1751-01-11T00:00:00Z,,,,,1751.0,539.0,,,,367.0,313.0,,,,France,,,,,,,,246.0,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Lucker,,,,,,,,,,Catherine,1749-09-12T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,200.0,305.3,,,,1749-07-21T00:00:00Z,1751-08-08T00:00:00Z,30546,,
"Fessard, Étienne",43.0,,62.0,1750-07-14T00:00:00Z,,,1751-02-05T00:00:00Z,,,,,1751.0,439.0,,,,340.0,57.0,283.0,0.83,,France,,,,,,,,206.0,France,340.0,0.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Struyckman, Conrard<br/> Struyckman, Jean (Frères)",,,,,Slave insurrection,,,,,Louise Marguerite,1750-01-02T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,300.0,343.1,57.0,340.0,,1749-11-23T00:00:00Z,1751-07-14T00:00:00Z,30565,,
"Armés, Yves",20.0,,58.0,1750-09-17T00:00:00Z,1751-07-19T00:00:00Z,,1750-12-26T00:00:00Z,,,,,1750.0,363.0,,,,320.0,310.0,10.0,0.03,,France,,,,,,,,100.0,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Grou<br/> Michel,,,,,,,,,,Loire,1750-01-23T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,250.0,365.3,310.0,320.0,,1749-12-28T00:00:00Z,1751-09-28T00:00:00Z,30568,,
"Ollier, Joseph",20.0,,49.0,1752-06-18T00:00:00Z,1752-12-02T00:00:00Z,,1752-01-01T00:00:00Z,,,,,1752.0,,,,,700.0,484.0,216.0,0.31,,France,,,,,,,,,France,700.0,0.0,0.0,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,"Wailch, A",,,,,,,,,,Amphitrion,1752-03-08T00:00:00Z,"mettas,I<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,250.0,365.3,484.0,700.0,,1751-10-26T00:00:00Z,1753-02-02T00:00:00Z,30609,,
